iter	MultiClass
0	4.123317073
1	4.119573543
2	4.115891297
3	4.112165152
4	4.108634204
5	4.105163232
6	4.101784432
7	4.098458082
8	4.095214291
9	4.092037336
10	4.088927062
11	4.085860441
12	4.082866604
13	4.079887451
14	4.076983147
15	4.074149514
16	4.071361147
17	4.068639796
18	4.065959035
19	4.063330639
20	4.060739837
21	4.058210472
22	4.055729588
23	4.053289846
24	4.050889097
25	4.048537851
26	4.046237386
27	4.043978753
28	4.041740098
29	4.039563766
30	4.037427884
31	4.035336833
32	4.033278412
33	4.031188362
34	4.029202675
35	4.027252894
36	4.025316359
37	4.023352411
38	4.021311951
39	4.019491474
40	4.017693509
41	4.015755859
42	4.014023916
43	4.012305513
44	4.010633104
45	4.008928341
46	4.0073136
47	4.005706978
48	4.004007237
49	4.002324722
50	4.000810841
51	3.999271624
52	3.997766786
53	3.996247659
54	3.994709494
55	3.993314257
56	3.991867362
57	3.990451856
58	3.988908909
59	3.987458362
60	3.986171647
61	3.984882724
62	3.983582539
63	3.982317526
64	3.981091208
65	3.979839877
66	3.978455282
67	3.977300417
68	3.975999902
69	3.974885885
70	3.973595218
71	3.972516937
72	3.971256733
73	3.970049681
74	3.96894341
75	3.967669106
76	3.966592296
77	3.965570442
78	3.964598361
79	3.963446179
80	3.96245737
81	3.961328506
82	3.960358623
83	3.959245744
84	3.958358877
85	3.957257661
86	3.956321237
87	3.955381222
88	3.954504506
89	3.953680712
90	3.952756863
91	3.951756088
92	3.950686448
93	3.949776561
94	3.94894904
95	3.948132513
96	3.947331538
97	3.946501678
98	3.945782125
99	3.944912936
