iter	Passed	Remaining
0	1062	52086
1	2338	56119
2	3568	55909
3	3840	44162
4	4557	41021
5	5926	43460
6	6682	41047
7	7655	40192
8	8164	37192
9	8895	35582
10	10378	36795
11	11564	36619
12	13071	37204
13	13342	34310
14	13844	32302
15	15359	32638
16	16906	32818
17	18421	32749
18	19925	32509
19	20427	30641
20	21630	29870
21	21909	27884
22	23432	27508
23	24959	27039
24	26495	26495
25	28114	25951
26	29610	25223
27	30335	23835
28	30606	22163
29	31782	21188
30	33300	20409
31	34800	19575
32	36273	18686
33	37278	17542
34	38788	16623
35	39712	15443
36	41296	14509
37	42885	13542
38	43848	12367
39	45366	11341
40	46861	10286
41	48391	9217
42	49880	8120
43	51372	7005
44	51642	5738
45	53184	4624
46	54692	3490
47	55415	2308
48	56928	1161
49	57450	0
